MLSNUM,LISTPRICE,ZIP,BEDS,BATHS,SQFT,PHOTOURL
71804151,119900,2303,2,1.5,1146,http://media.mlspin.com/photo.aspx?mls=71804151
71804229,219000,1970,2,1,1028,http://media.mlspin.com/photo.aspx?mls=71804229
71805106,172600,2066,2,1.5,1616,http://media.mlspin.com/photo.aspx?mls=71805106
71807105,401805,2780,3,2.5,2200,http://media.mlspin.com/photo.aspx?mls=71807105
71807446,419900,2341,2,2.5,2600,http://media.mlspin.com/photo.aspx?mls=71807446
71809975,179900,2122,3,1,1320,http://media.mlspin.com/photo.aspx?mls=71809975
71810156,237900,1902,1,1,1020,http://media.mlspin.com/photo.aspx?mls=71810156
71812387,411900,2171,2,2,1250,http://media.mlspin.com/photo.aspx?mls=71812387
71812549,399900,1060,3,1.5,1762,http://media.mlspin.com/photo.aspx?mls=71812549
71814372,505145,2184,2,2,1720,http://media.mlspin.com/photo.aspx?mls=71814372
71814737,374990,1721,2,2.5,1920,http://media.mlspin.com/photo.aspx?mls=71814737
71817265,242000,1001,2,2,1600,http://media.mlspin.com/photo.aspx?mls=71817265
71817592,416500,2780,3,2.5,2200,http://media.mlspin.com/photo.aspx?mls=71817592
71818699,154900,1420,2,1.5,1273,http://media.mlspin.com/photo.aspx?mls=71818699
71820216,409900,2341,2,2.5,2142,http://media.mlspin.com/photo.aspx?mls=71820216
71822617,120000,1876,2,1,960,http://media.mlspin.com/photo.aspx?mls=71822617
71823712,799000,2127,2,2,1126,http://media.mlspin.com/photo.aspx?mls=71823712
71824663,182500,1520,3,2.5,1709,http://media.mlspin.com/photo.aspx?mls=71824663
71824770,209900,2359,2,1.5,1277,http://media.mlspin.com/photo.aspx?mls=71824770
71824966,448300,1845,3,2.5,2448,http://media.mlspin.com/photo.aspx?mls=71824966
71825235,1099000,2143,2,2.5,2001,http://media.mlspin.com/photo.aspx?mls=71825235
71826489,189800,1569,3,2.5,1550,http://media.mlspin.com/photo.aspx?mls=71826489
71827236,274900,2332,3,2.5,1574,http://media.mlspin.com/photo.aspx?mls=71827236
71829538,550000,1985,3,2.5,1613,http://media.mlspin.com/photo.aspx?mls=71829538
71829971,359800,1085,2,3,1989,http://media.mlspin.com/photo.aspx?mls=71829971
71831961,658200,2116,2,1,1075,http://media.mlspin.com/photo.aspx?mls=71831961
71832579,89900,2860,2,1.5,1248,http://media.mlspin.com/photo.aspx?mls=71832579
71832610,229000,2536,2,1.5,1280,http://media.mlspin.com/photo.aspx?mls=71832610
71832901,849000,1742,3,2.5,2365,http://media.mlspin.com/photo.aspx?mls=71832901
71832908,869000,1742,3,2.5,2365,http://media.mlspin.com/photo.aspx?mls=71832908
71834426,379900,1801,3,2,1200,http://media.mlspin.com/photo.aspx?mls=71834426
71834633,105000,2780,1,1,885,http://media.mlspin.com/photo.aspx?mls=71834633
71835658,164900,2762,2,1.5,1302,http://media.mlspin.com/photo.aspx?mls=71835658
71836884,375000,1536,3,2,1886,http://media.mlspin.com/photo.aspx?mls=71836884
71837038,55000,2745,2,1,734,http://media.mlspin.com/photo.aspx?mls=71837038
71838792,92000,1879,2,1,627,http://media.mlspin.com/photo.aspx?mls=71838792
71839970,115900,1604,2,1.5,1300,http://media.mlspin.com/photo.aspx?mls=71839970
71841115,164900,2149,1,1,600,http://media.mlspin.com/photo.aspx?mls=71841115
71842521,530000,2482,2,1.5,1246,http://media.mlspin.com/photo.aspx?mls=71842521
71843302,525000,2124,2,2,1152,http://media.mlspin.com/photo.aspx?mls=71843302
71844683,799000,2127,2,2,1310,http://media.mlspin.com/photo.aspx?mls=71844683
71844805,149900,2351,1,1,738,http://media.mlspin.com/photo.aspx?mls=71844805
71845224,75900,2718,2,1,851,http://media.mlspin.com/photo.aspx?mls=71845224
71845682,679900,1730,3,2.5,3192,http://media.mlspin.com/photo.aspx?mls=71845682
71845996,609000,1773,3,3,2673,http://media.mlspin.com/photo.aspx?mls=71845996
71847350,180000,2356,2,2.5,1476,http://media.mlspin.com/photo.aspx?mls=71847350
71847767,449900,1701,2,2.5,1852,http://media.mlspin.com/photo.aspx?mls=71847767
71847774,459900,1701,2,2.5,1852,http://media.mlspin.com/photo.aspx?mls=71847774
71847780,609900,1701,3,2.5,2564,http://media.mlspin.com/photo.aspx?mls=71847780
71847812,539900,1701,3,2.5,2079,http://media.mlspin.com/photo.aspx?mls=71847812
71847813,460000,1701,2,2.5,1848,http://media.mlspin.com/photo.aspx?mls=71847813
71849155,269900,1013,2,2,1300,http://media.mlspin.com/photo.aspx?mls=71849155
71849376,254900,1886,2,1.5,1294,http://media.mlspin.com/photo.aspx?mls=71849376
71852302,257000,2176,2,2,1234,http://media.mlspin.com/photo.aspx?mls=71852302
71852624,239900,2341,1,1.5,1680,http://media.mlspin.com/photo.aspx?mls=71852624
71852654,250000,2724,3,2.5,1900,http://media.mlspin.com/photo.aspx?mls=71852654
71853141,494900,1844,2,2,2035,http://media.mlspin.com/photo.aspx?mls=71853141
71853478,529900,1757,2,3,2360,http://media.mlspin.com/photo.aspx?mls=71853478
71853845,119900,1040,2,2,915,http://media.mlspin.com/photo.aspx?mls=71853845
71853997,349900,1907,3,2,1479,http://media.mlspin.com/photo.aspx?mls=71853997
71854084,3695000,2115,4,2,2796,http://media.mlspin.com/photo.aspx?mls=71854084
71854162,383000,1581,2,2.5,2539,http://media.mlspin.com/photo.aspx?mls=71854162
71855330,269900,1056,3,2.5,1664,http://media.mlspin.com/photo.aspx?mls=71855330
71855709,144900,1468,3,1.5,1708,http://media.mlspin.com/photo.aspx?mls=71855709
71855755,629000,2125,2,2,1168,http://media.mlspin.com/photo.aspx?mls=71855755
71856383,185000,2766,2,1.5,1188,http://media.mlspin.com/photo.aspx?mls=71856383
71856754,250000,1569,3,2.5,2026,http://media.mlspin.com/photo.aspx?mls=71856754
71857020,375000,2135,1,1,697,http://media.mlspin.com/photo.aspx?mls=71857020
71857934,279000,2072,3,2.5,2129,http://media.mlspin.com/photo.aspx?mls=71857934
71857992,195000,2649,2,1.5,1404,http://media.mlspin.com/photo.aspx?mls=71857992
71858409,734900,2472,3,2.5,2880,http://media.mlspin.com/photo.aspx?mls=71858409
71859522,239000,2151,3,2,1300,http://media.mlspin.com/photo.aspx?mls=71859522
71859560,169900,2780,3,1.5,1370,http://media.mlspin.com/photo.aspx?mls=71859560
71859620,709900,1776,2,2.5,3100,http://media.mlspin.com/photo.aspx?mls=71859620
71861213,429000,2341,2,2.5,2225,http://media.mlspin.com/photo.aspx?mls=71861213
71862522,69900,6260,2,1.5,1200,http://media.mlspin.com/photo.aspx?mls=71862522
71862803,1190000,2138,1,1.5,1133,http://media.mlspin.com/photo.aspx?mls=71862803
71863042,299900,1970,2,1,875,http://media.mlspin.com/photo.aspx?mls=71863042
71863136,146000,2563,2,1.5,1224,http://media.mlspin.com/photo.aspx?mls=71863136
71863147,549000,1930,3,2.5,2362,http://media.mlspin.com/photo.aspx?mls=71863147
71863280,879000,2118,1,1,988,http://media.mlspin.com/photo.aspx?mls=71863280
71863342,226000,1913,2,2.5,1698,http://media.mlspin.com/photo.aspx?mls=71863342
71863348,589000,2116,1,1,670,http://media.mlspin.com/photo.aspx?mls=71863348
71863387,164900,2190,1,1,720,http://media.mlspin.com/photo.aspx?mls=71863387
71863414,569900,2453,3,2.5,2180,http://media.mlspin.com/photo.aspx?mls=71863414
71863631,1099000,2446,3,2,1551,http://media.mlspin.com/photo.aspx?mls=71863631
71863984,660735,1776,1,2,1455,http://media.mlspin.com/photo.aspx?mls=71863984
71864190,548800,1720,3,2.5,2266,http://media.mlspin.com/photo.aspx?mls=71864190
71864771,144000,1826,2,1,1078,http://media.mlspin.com/photo.aspx?mls=71864771
71864934,359000,1907,3,2,1475,http://media.mlspin.com/photo.aspx?mls=71864934
71865329,200000,2360,1,1,800,http://media.mlspin.com/photo.aspx?mls=71865329
71865521,189000,1879,2,1.5,1299,http://media.mlspin.com/photo.aspx?mls=71865521
71865544,430000,2118,2,1.5,1150,http://media.mlspin.com/photo.aspx?mls=71865544
71865547,108000,1060,2,1.5,1056,http://media.mlspin.com/photo.aspx?mls=71865547
71866008,179900,1060,2,1,751,http://media.mlspin.com/photo.aspx?mls=71866008
71867019,239900,1060,1,1,510,http://media.mlspin.com/photo.aspx?mls=71867019
71867587,137500,1826,2,1,1212,http://media.mlspin.com/photo.aspx?mls=71867587
71867591,229999,2151,2,1.5,725,http://media.mlspin.com/photo.aspx?mls=71867591
71867636,234000,1832,2,1.5,1910,http://media.mlspin.com/photo.aspx?mls=71867636
71867672,174900,2760,2,1.5,1224,http://media.mlspin.com/photo.aspx?mls=71867672
71867912,149900,2760,2,1,897,http://media.mlspin.com/photo.aspx?mls=71867912
71868443,350000,1950,4,1,1842,http://media.mlspin.com/photo.aspx?mls=71868443
71868992,179900,1520,3,1.5,1402,http://media.mlspin.com/photo.aspx?mls=71868992
71869041,82400,1510,2,1,647,http://media.mlspin.com/photo.aspx?mls=71869041
71871237,229900,1832,3,2,2280,http://media.mlspin.com/photo.aspx?mls=71871237
71871294,464900,2056,2,2.5,2540,http://media.mlspin.com/photo.aspx?mls=71871294
71871581,292900,2026,2,1.5,848,http://media.mlspin.com/photo.aspx?mls=71871581
71871716,209900,1583,2,2.5,1540,http://media.mlspin.com/photo.aspx?mls=71871716
71871749,489900,2375,3,2.5,2700,http://media.mlspin.com/photo.aspx?mls=71871749
71872399,349900,2748,3,2.5,1578,http://media.mlspin.com/photo.aspx?mls=71872399
71872498,49900,2740,2,1.5,936,http://media.mlspin.com/photo.aspx?mls=71872498
71872675,399900,2129,1,1,690,http://media.mlspin.com/photo.aspx?mls=71872675
71872921,439900,1970,4,2.5,2936,http://media.mlspin.com/photo.aspx?mls=71872921
71873392,279900,1930,3,1.5,1441,http://media.mlspin.com/photo.aspx?mls=71873392
71873756,464900,2748,3,3.5,2096,http://media.mlspin.com/photo.aspx?mls=71873756
71873882,259900,2176,3,1,1372,http://media.mlspin.com/photo.aspx?mls=71873882
71873933,724000,1742,3,2.5,2572,http://media.mlspin.com/photo.aspx?mls=71873933
71875063,155000,1095,2,1,1280,http://media.mlspin.com/photo.aspx?mls=71875063
71876972,122400,6082,1,1.5,1200,http://media.mlspin.com/photo.aspx?mls=71876972
71877050,364990,1581,2,2,1291,http://media.mlspin.com/photo.aspx?mls=71877050
71877945,209000,1852,1,1,1005,http://media.mlspin.com/photo.aspx?mls=71877945
71878053,499000,2118,2,1,820,http://media.mlspin.com/photo.aspx?mls=71878053
71878181,449000,2130,3,2,1200,http://media.mlspin.com/photo.aspx?mls=71878181
71878240,369900,1609,2,2,1656,http://media.mlspin.com/photo.aspx?mls=71878240
71878389,349900,1944,2,2.5,1100,http://media.mlspin.com/photo.aspx?mls=71878389
71878602,217495,2019,2,1.5,1600,http://media.mlspin.com/photo.aspx?mls=71878602
71878609,219900,1702,2,2,1355,http://media.mlspin.com/photo.aspx?mls=71878609
71879255,375000,1902,2,2,1206,http://media.mlspin.com/photo.aspx?mls=71879255
71879307,635000,2171,2,2,1305,http://media.mlspin.com/photo.aspx?mls=71879307
71880522,999500,2129,3,2,1427,http://media.mlspin.com/photo.aspx?mls=71880522
71880616,674900,1950,3,2.5,2265,http://media.mlspin.com/photo.aspx?mls=71880616
71880669,152900,1970,1,1,794,http://media.mlspin.com/photo.aspx?mls=71880669
71880725,545000,2132,3,2.5,2644,http://media.mlspin.com/photo.aspx?mls=71880725
71880943,205000,2375,2,1.5,1595,http://media.mlspin.com/photo.aspx?mls=71880943
71881183,224000,1945,1,1,401,http://media.mlspin.com/photo.aspx?mls=71881183
71881210,315000,1536,2,3.5,2160,http://media.mlspin.com/photo.aspx?mls=71881210
71881838,289900,1852,4,2.5,2278,http://media.mlspin.com/photo.aspx?mls=71881838
71881853,140000,1833,1,1,618,http://media.mlspin.com/photo.aspx?mls=71881853
71882491,299900,1519,2,2.5,1500,http://media.mlspin.com/photo.aspx?mls=71882491
71882513,157500,1075,2,1,880,http://media.mlspin.com/photo.aspx?mls=71882513
71883165,179850,2719,2,1.5,1377,http://media.mlspin.com/photo.aspx?mls=71883165
71883252,219900,1852,1,1,1057,http://media.mlspin.com/photo.aspx?mls=71883252
71883268,262900,2356,1,2.5,1458,http://media.mlspin.com/photo.aspx?mls=71883268
71883322,219900,2648,3,1.5,1476,http://media.mlspin.com/photo.aspx?mls=71883322
71883463,249900,2718,2,3,1248,http://media.mlspin.com/photo.aspx?mls=71883463
71883492,489900,2131,3,2,1786,http://media.mlspin.com/photo.aspx?mls=71883492
71883630,287999,1830,3,2.5,1810,http://media.mlspin.com/photo.aspx?mls=71883630
71883794,550000,3049,3,3,2602,http://media.mlspin.com/photo.aspx?mls=71883794
71883880,425000,1970,3,1,1400,http://media.mlspin.com/photo.aspx?mls=71883880
71884003,269900,2169,2,1.5,1389,http://media.mlspin.com/photo.aspx?mls=71884003
71884405,487000,2135,4,1,1400,http://media.mlspin.com/photo.aspx?mls=71884405
71884501,229000,2126,2,1,1007,http://media.mlspin.com/photo.aspx?mls=71884501
71884655,209900,2703,2,2.5,1440,http://media.mlspin.com/photo.aspx?mls=71884655
71885141,589000,2452,2,2,2663,http://media.mlspin.com/photo.aspx?mls=71885141
71886380,125000,2360,2,2,983,http://media.mlspin.com/photo.aspx?mls=71886380
71886960,599000,1950,4,3.5,2360,http://media.mlspin.com/photo.aspx?mls=71886960
71887093,415000,1906,3,2.5,1700,http://media.mlspin.com/photo.aspx?mls=71887093
71887108,410000,1906,3,2.5,1700,http://media.mlspin.com/photo.aspx?mls=71887108
71887592,264900,1752,2,2,1375,http://media.mlspin.com/photo.aspx?mls=71887592
71887721,194500,1854,2,1.5,1200,http://media.mlspin.com/photo.aspx?mls=71887721
71887843,128500,1850,2,1,1100,http://media.mlspin.com/photo.aspx?mls=71887843
71887942,219900,2155,1,1,595,http://media.mlspin.com/photo.aspx?mls=71887942
71888005,174900,1510,2,2,1005,http://media.mlspin.com/photo.aspx?mls=71888005
71888727,204900,1832,3,1.5,1652,http://media.mlspin.com/photo.aspx?mls=71888727
71888836,230000,2368,2,1.5,1378,http://media.mlspin.com/photo.aspx?mls=71888836
71889058,429900,1950,2,2.5,1932,http://media.mlspin.com/photo.aspx?mls=71889058
71889249,184900,1085,2,2,1519,http://media.mlspin.com/photo.aspx?mls=71889249
71889298,329900,1970,2,1.5,1635,http://media.mlspin.com/photo.aspx?mls=71889298
71889319,453000,2169,4,2.5,2308,http://media.mlspin.com/photo.aspx?mls=71889319
71889841,239000,2360,2,2.5,1420,http://media.mlspin.com/photo.aspx?mls=71889841
71890354,599000,2130,3,2,1115,http://media.mlspin.com/photo.aspx?mls=71890354
71891000,229900,1852,2,1.5,1300,http://media.mlspin.com/photo.aspx?mls=71891000
71891102,419000,1915,3,4,2664,http://media.mlspin.com/photo.aspx?mls=71891102
71891147,2190000,2116,2,2,1370,http://media.mlspin.com/photo.aspx?mls=71891147
71891236,349900,2150,2,2,1137,http://media.mlspin.com/photo.aspx?mls=71891236
71891853,160000,2703,3,1.5,1200,http://media.mlspin.com/photo.aspx?mls=71891853
71891924,659900,1949,3,3.5,2613,http://media.mlspin.com/photo.aspx?mls=71891924
71892106,419900,2155,3,1.5,2160,http://media.mlspin.com/photo.aspx?mls=71892106
71892222,157000,2532,3,1.5,1521,http://media.mlspin.com/photo.aspx?mls=71892222
71892549,427500,1950,2,1,1158,http://media.mlspin.com/photo.aspx?mls=71892549
71893067,229000,1835,3,2.5,2156,http://media.mlspin.com/photo.aspx?mls=71893067
71893350,189900,2184,2,1,733,http://media.mlspin.com/photo.aspx?mls=71893350
71893505,449900,1876,2,2.5,1850,http://media.mlspin.com/photo.aspx?mls=71893505
71893506,509900,1876,2,2.5,1850,http://media.mlspin.com/photo.aspx?mls=71893506
71893653,599900,1950,2,2.5,1440,http://media.mlspin.com/photo.aspx?mls=71893653
71893679,57900,1089,2,1,541,http://media.mlspin.com/photo.aspx?mls=71893679
71894181,199999,1851,2,2,1271,http://media.mlspin.com/photo.aspx?mls=71894181
71894237,124900,1588,2,1,966,http://media.mlspin.com/photo.aspx?mls=71894237
71894320,95000,2301,2,1,900,http://media.mlspin.com/photo.aspx?mls=71894320
71894349,1400000,2467,3,3,2984,http://media.mlspin.com/photo.aspx?mls=71894349
71894521,239900,1913,3,1,1242,http://media.mlspin.com/photo.aspx?mls=71894521
71894556,162500,1960,1,1,782,http://media.mlspin.com/photo.aspx?mls=71894556
71894628,250000,2703,3,1.5,1700,http://media.mlspin.com/photo.aspx?mls=71894628
71894633,250000,2703,3,1.5,1700,http://media.mlspin.com/photo.aspx?mls=71894633
71894811,1495000,2478,4,4.5,3453,http://media.mlspin.com/photo.aspx?mls=71894811
71895160,340000,2145,1,1,908,http://media.mlspin.com/photo.aspx?mls=71895160
71895364,2600000,2138,3,3,2195,http://media.mlspin.com/photo.aspx?mls=71895364
71895536,242900,2763,2,2.5,1676,http://media.mlspin.com/photo.aspx?mls=71895536
71895746,474900,2466,3,1,1234,http://media.mlspin.com/photo.aspx?mls=71895746
71895869,214000,1536,3,1.5,1400,http://media.mlspin.com/photo.aspx?mls=71895869
71896025,869000,2460,4,4,3240,http://media.mlspin.com/photo.aspx?mls=71896025
71896133,147500,1913,2,1,800,http://media.mlspin.com/photo.aspx?mls=71896133
71896267,249900,2151,3,1,1091,http://media.mlspin.com/photo.aspx?mls=71896267
71896443,185900,1108,3,1.5,1224,http://media.mlspin.com/photo.aspx?mls=71896443
71896488,529900,1952,4,2,1792,http://media.mlspin.com/photo.aspx?mls=71896488
71896635,299900,2332,2,2,1326,http://media.mlspin.com/photo.aspx?mls=71896635
71896695,80000,1301,2,1.5,896,http://media.mlspin.com/photo.aspx?mls=71896695
71896812,150000,2703,2,1.5,1300,http://media.mlspin.com/photo.aspx?mls=71896812
71896902,225000,1609,2,2.5,1638,http://media.mlspin.com/photo.aspx?mls=71896902
71896945,269000,2150,3,1.5,1327,http://media.mlspin.com/photo.aspx?mls=71896945
71897146,1079000,2467,2,2.5,1485,http://media.mlspin.com/photo.aspx?mls=71897146
71897201,279900,1106,3,3,2283,http://media.mlspin.com/photo.aspx?mls=71897201
71897277,314900,1077,3,2.5,1740,http://media.mlspin.com/photo.aspx?mls=71897277
71897315,449900,2056,2,2,1839,http://media.mlspin.com/photo.aspx?mls=71897315
71897392,329500,2649,3,4,2550,http://media.mlspin.com/photo.aspx?mls=71897392
71897511,134900,1826,2,1.5,1044,http://media.mlspin.com/photo.aspx?mls=71897511
71897680,549000,2176,3,2.5,1800,http://media.mlspin.com/photo.aspx?mls=71897680
71897835,34000,1118,2,1,875,http://media.mlspin.com/photo.aspx?mls=71897835
71897916,249900,2375,2,1.5,1569,http://media.mlspin.com/photo.aspx?mls=71897916
71898350,74900,2760,1,1,565,http://media.mlspin.com/photo.aspx?mls=71898350
71898353,209900,3841,2,1.5,1789,http://media.mlspin.com/photo.aspx?mls=71898353
71898445,239900,2341,1,1.5,1680,http://media.mlspin.com/photo.aspx?mls=71898445
71898651,229900,2760,3,1.5,1258,http://media.mlspin.com/photo.aspx?mls=71898651
71898673,403800,2149,2,2,1346,http://media.mlspin.com/photo.aspx?mls=71898673
71898893,225000,2124,2,1,935,http://media.mlspin.com/photo.aspx?mls=71898893
71899073,239000,1960,2,2,1020,http://media.mlspin.com/photo.aspx?mls=71899073
71899340,365000,1581,2,2,1423,http://media.mlspin.com/photo.aspx?mls=71899340
71899395,649000,1930,3,3.5,2854,http://media.mlspin.com/photo.aspx?mls=71899395
71899614,460000,1803,2,2,1263,http://media.mlspin.com/photo.aspx?mls=71899614
71899729,79000,1524,1,1,766,http://media.mlspin.com/photo.aspx?mls=71899729
71899837,179900,2048,2,2,941,http://media.mlspin.com/photo.aspx?mls=71899837
71899945,679000,1778,2,2.5,2177,http://media.mlspin.com/photo.aspx?mls=71899945
71899972,239900,2072,4,1.5,1786,http://media.mlspin.com/photo.aspx?mls=71899972
71900045,249900,2356,1,1.5,1458,http://media.mlspin.com/photo.aspx?mls=71900045
71900142,196900,2169,2,1.5,864,http://media.mlspin.com/photo.aspx?mls=71900142
71900284,189000,2045,2,2,1212,http://media.mlspin.com/photo.aspx?mls=71900284
71900301,165000,1945,1,1,558,http://media.mlspin.com/photo.aspx?mls=71900301
71900477,99000,2301,1,1,755,http://media.mlspin.com/photo.aspx?mls=71900477
71900497,299900,1568,3,2.5,1731,http://media.mlspin.com/photo.aspx?mls=71900497
71900514,229900,1581,2,2.5,1451,http://media.mlspin.com/photo.aspx?mls=71900514
71900544,224900,2703,3,2.5,1800,http://media.mlspin.com/photo.aspx?mls=71900544
71900633,749000,2138,2,2.5,1478,http://media.mlspin.com/photo.aspx?mls=71900633
71900690,244999,2330,2,2.5,1794,http://media.mlspin.com/photo.aspx?mls=71900690
71900721,319000,2472,2,1,874,http://media.mlspin.com/photo.aspx?mls=71900721
71901052,222900,1510,3,2.5,1344,http://media.mlspin.com/photo.aspx?mls=71901052
71901087,349000,2472,2,1,874,http://media.mlspin.com/photo.aspx?mls=71901087
71901116,425000,2114,1,1,791,http://media.mlspin.com/photo.aspx?mls=71901116
71901341,339000,2649,2,2,1338,http://media.mlspin.com/photo.aspx?mls=71901341
71901346,719000,2116,2,1,798,http://media.mlspin.com/photo.aspx?mls=71901346
71901560,569900,2453,3,3,2000,http://media.mlspin.com/photo.aspx?mls=71901560
71901615,1875000,2446,4,4,3068,http://media.mlspin.com/photo.aspx?mls=71901615
71901643,534900,2453,3,2.5,2413,http://media.mlspin.com/photo.aspx?mls=71901643
71901749,650000,2118,2,1,831,http://media.mlspin.com/photo.aspx?mls=71901749
71901844,268900,1938,2,1.5,1161,http://media.mlspin.com/photo.aspx?mls=71901844
71901881,299500,2540,1,1,856,http://media.mlspin.com/photo.aspx?mls=71901881
71901890,475000,2472,3,2,1980,http://media.mlspin.com/photo.aspx?mls=71901890
71901954,649000,2043,2,2.5,1998,http://media.mlspin.com/photo.aspx?mls=71901954
71902032,425000,1760,3,1.5,2424,http://media.mlspin.com/photo.aspx?mls=71902032
71902108,412000,2169,3,2.5,1436,http://media.mlspin.com/photo.aspx?mls=71902108
71902229,349000,1923,3,2.5,1633,http://media.mlspin.com/photo.aspx?mls=71902229
71902256,349000,1923,3,2.5,1633,http://media.mlspin.com/photo.aspx?mls=71902256
71902296,359900,2021,3,2.5,2100,http://media.mlspin.com/photo.aspx?mls=71902296
71902352,249500,1830,3,2.5,2100,http://media.mlspin.com/photo.aspx?mls=71902352
71902474,109900,2360,1,1,785,http://media.mlspin.com/photo.aspx?mls=71902474
71902535,219900,2072,2,3,1250,http://media.mlspin.com/photo.aspx?mls=71902535
71902693,465000,2127,2,2,951,http://media.mlspin.com/photo.aspx?mls=71902693
71902753,269000,1938,2,1.5,1161,http://media.mlspin.com/photo.aspx?mls=71902753
71902833,399000,2131,2,2,975,http://media.mlspin.com/photo.aspx?mls=71902833
71902867,219000,2125,1,1,880,http://media.mlspin.com/photo.aspx?mls=71902867
71902961,119900,2649,2,1,864,http://media.mlspin.com/photo.aspx?mls=71902961
71903011,1249000,2445,4,2,2184,http://media.mlspin.com/photo.aspx?mls=71903011
71903084,434900,1952,3,2.5,1946,http://media.mlspin.com/photo.aspx?mls=71903084
71903141,399900,1746,2,2.5,1600,http://media.mlspin.com/photo.aspx?mls=71903141
71903578,429000,1803,2,2,1166,http://media.mlspin.com/photo.aspx?mls=71903578
71903661,249900,1886,2,1.5,1627,http://media.mlspin.com/photo.aspx?mls=71903661
71903725,129900,1826,2,1,1044,http://media.mlspin.com/photo.aspx?mls=71903725
71904095,114900,1082,3,1.5,1144,http://media.mlspin.com/photo.aspx?mls=71904095
71904117,289900,2150,1,1,1073,http://media.mlspin.com/photo.aspx?mls=71904117
